sequence,width,height,fx,fy,cx,cy
1,1280,1024,1185.84578000,1185.84578000,618.92313400,506.30887600
2,1280,1024,1185.84578000,1185.84578000,618.92313400,506.30887600
3,1280,1024,1185.84578000,1185.84578000,618.92313400,506.30887600
4,1280,1024,1185.84578000,1185.84578000,618.92313400,506.30887600
5,1280,1024,1157.99682000,1157.99682000,640.46117400,497.86069500
6,1280,1024,1185.84578000,1185.84578000,618.92313400,506.30887600
7,1280,1024,1185.84578000,1185.84578000,618.92313400,506.30887600
9,1280,1024,1142.55790000,1142.55790000,629.53532400,535.91609200
10,1280,1024,1142.55790000,1142.55790000,629.53532400,535.91609200
11,1280,1024,1142.55790000,1142.55790000,629.53532400,535.91609200
12,1280,1024,1142.55790000,1142.55790000,629.53532400,535.91609200
13,1280,1024,1179.99887000,1179.99887000,638.15682200,508.86910200
14,1280,1024,1165.64936000,1165.64936000,640.07157900,501.27892700
15,1280,1024,1179.99887000,1179.99887000,638.15682200,508.86910200
16,1280,1024,1179.99887000,1179.99887000,638.15682200,508.86910200
