sequence,width,height,fx,fy,cx,cy
rectified01,640,480,383.1901395,383.1901395,155.9659519195557,124.3335933685303
rectified04,360,288,579.05693,579.05693,139.9316005706787,159.0189905166626
rectified05,360,288,579.05693,579.05693,139.9316005706787,159.0189905166626
rectified06,640,480,765.8236885,765.8236885,276.4727783203125,253.6752815246582
rectified08,640,480,765.8236885,765.8236885,276.4727783203125,253.6752815246582
rectified09,640,480,765.8236885,765.8236885,276.4727783203125,253.6752815246582
rectified11,360,288,426.532013,426.532013,175.2081146240234,153.1618118286133
rectified12,360,288,426.532013,426.532013,175.2081146240234,153.1618118286133
rectified14,720,288,417.9036255,417.9036255,373.208288192749,158.1358108520508
rectified15,720,288,417.9036255,417.9036255,373.208288192749,158.1358108520508
rectified16,720,288,417.9036255,417.9036255,373.208288192749,158.1358108520508
rectified17,720,288,417.9036255,417.9036255,373.208288192749,158.1358108520508
rectified18,720,288,417.9036255,417.9036255,373.208288192749,158.1358108520508
rectified19,720,288,417.9036255,417.9036255,373.208288192749,158.1358108520508
rectified20,720,288,417.9036255,417.9036255,373.208288192749,158.1358108520508
rectified21,720,288,417.9036255,417.9036255,373.208288192749,158.1358108520508
rectified22,720,288,417.9036255,417.9036255,373.208288192749,158.1358108520508
rectified23,720,288,417.9036255,417.9036255,373.208288192749,158.1358108520508
rectified24,720,288,417.9036255,417.9036255,373.208288192749,158.1358108520508
rectified25,720,288,455.510315,455.510315,238.6288242340088,124.0845642089844
rectified26,720,288,455.510315,455.510315,238.6288242340088,124.0845642089844
rectified27,720,288,455.510315,455.510315,238.6288242340088,124.0845642089844
